  |H|   |A|       S  Layout   Type   Throughput(Q/s)  ConvTime(s)
 8000     5  0.875    V_ALL      i            5714.7            -
 8000     5  0.875    V_ALL     ii            4174.9            -
 8000     5  0.875   H_VIEW   conv                 -         0.09
 8000     5  0.875   H_VIEW      i            1472.2            -
 8000     5  0.875   H_VIEW     ii            2093.9            -
 8000    10  0.500    V_ALL   conv                 -         0.11
 8000    10  0.500    V_ALL      i             893.5            -
 8000    10  0.500    V_ALL     ii             687.1            -
 8000    10  0.500   H_VIEW   conv                 -         0.10
 8000    10  0.500   H_VIEW      i              72.8            -
 8000    10  0.500   H_VIEW     ii              95.8            -
 8000    10  0.750    V_ALL   conv                 -         0.11
 8000    10  0.750    V_ALL      i            1709.5            -
 8000    10  0.750    V_ALL     ii            1393.4            -
 8000    10  0.750   H_VIEW   conv                 -         0.12
 8000    10  0.750   H_VIEW      i             160.7            -
 8000    10  0.750   H_VIEW     ii             511.1            -
 8000    10  0.875    V_ALL   conv                 -         0.10
 8000    10  0.875    V_ALL      i            3227.1            -
 8000    10  0.875    V_ALL     ii            2501.4            -
 8000    10  0.875   H_VIEW   conv                 -         0.09
 8000    10  0.875   H_VIEW      i             371.6            -
 8000    10  0.875   H_VIEW     ii             821.6            -
 8000    15  0.500    V_ALL   conv                 -         0.12
 8000    15  0.500    V_ALL      i             589.1            -
 8000    15  0.500    V_ALL     ii             487.0            -
 8000    15  0.500   H_VIEW   conv                 -         0.10
 8000    15  0.500   H_VIEW      i              34.2            -
 8000    15  0.500   H_VIEW     ii              41.6            -
 8000    15  0.750    V_ALL   conv                 -         0.11
 8000    15  0.750    V_ALL      i            1168.4            -
 8000    15  0.750    V_ALL     ii            1020.8            -
 8000    15  0.750   H_VIEW   conv                 -         0.10
 8000    15  0.750   H_VIEW      i              73.4            -
 8000    15  0.750   H_VIEW     ii             227.4            -
 8000    15  0.875    V_ALL   conv                 -         0.10
 8000    15  0.875    V_ALL      i            2260.9            -
 8000    15  0.875    V_ALL     ii            1812.5            -
 8000    15  0.875   H_VIEW   conv                 -         0.12
 8000    15  0.875   H_VIEW      i             154.8            -
 8000    15  0.875   H_VIEW     ii             478.3            -
